logging_scheme,logging_seed,method,target_budget,episodes,success_rate,intervention_rate,matched_oracle_success_rate,regret_to_matched_oracle,request_precision,nominal_false_alarm_rate
uncertainty_selective,211,t_learner,0.5,240,0.7916666666666666,0.5,0.95,0.15833333333333333,0.6833333333333333,0.3125
uncertainty_selective,211,t_learner,0.75,240,0.9208333333333333,0.75,0.9958333333333333,0.07500000000000007,0.6277777777777778,0.5625
uncertainty_selective,211,ipw_learner,0.1,240,0.4708333333333333,0.1,0.55,0.07916666666666672,0.20833333333333334,0.1875
uncertainty_selective,211,ipw_learner,0.25,240,0.575,0.25,0.7,0.125,0.5,0.3125
uncertainty_selective,211,ipw_learner,0.5,240,0.6791666666666667,0.5,0.95,0.27083333333333326,0.4666666666666667,0.625
uncertainty_selective,211,ipw_learner,0.75,240,0.7791666666666667,0.75,0.9958333333333333,0.21666666666666667,0.45,0.875
uncertainty_selective,211,dr_learner,0.1,240,0.5083333333333333,0.1,0.55,0.04166666666666674,0.5833333333333334,0.020833333333333332
uncertainty_selective,211,dr_learner,0.25,240,0.6125,0.25,0.7,0.08749999999999991,0.65,0.125
uncertainty_selective,211,dr_learner,0.5,240,0.775,0.5,0.95,0.17499999999999993,0.65,0.2916666666666667
uncertainty_selective,211,dr_learner,0.75,240,0.8708333333333333,0.75,0.9958333333333333,0.125,0.5722222222222222,0.6041666666666666
uncertainty_selective,211,reversibility_proxy,0.1,240,0.5208333333333334,0.1,0.55,0.029166666666666674,0.7083333333333334,0.041666666666666664
uncertainty_selective,211,reversibility_proxy,0.25,240,0.625,0.25,0.7,0.07499999999999996,0.7,0.125
uncertainty_selective,211,reversibility_proxy,0.5,240,0.7708333333333334,0.5,0.95,0.17916666666666659,0.6416666666666667,0.1875
uncertainty_selective,211,reversibility_proxy,0.75,240,0.8833333333333333,0.75,0.9958333333333333,0.11250000000000004,0.6,0.5416666666666666
uncertainty_selective,307,never_help,0.0,240,0.45,0.0,0.45,0.0,,0.0
uncertainty_selective,307,always_help,1.0,240,0.9833333333333333,1.0,0.9958333333333333,0.012500000000000067,0.5375,1.0
uncertainty_selective,307,oracle_value,,240,0.9958333333333333,0.5458333333333333,0.9958333333333333,0.0,1.0,0.10416666666666667
uncertainty_selective,307,paired_label_oracle,0.1,240,0.5375,0.1,0.55,0.012500000000000067,0.875,0.08333333333333333
uncertainty_selective,307,paired_label_oracle,0.25,240,0.6625,0.25,0.7,0.03749999999999998,0.85,0.125
uncertainty_selective,307,paired_label_oracle,0.5,240,0.8166666666666667,0.5,0.95,0.1333333333333333,0.7333333333333333,0.2708333333333333
uncertainty_selective,307,paired_label_oracle,0.75,240,0.9166666666666666,0.75,0.9958333333333333,0.07916666666666672,0.6277777777777778,0.5208333333333334
uncertainty_selective,307,failure_risk,0.1,240,0.5166666666666667,0.1,0.55,0.033333333333333326,0.6666666666666666,0.0625
uncertainty_selective,307,failure_risk,0.25,240,0.6125,0.25,0.7,0.08749999999999991,0.65,0.14583333333333334
uncertainty_selective,307,failure_risk,0.5,240,0.7625,0.5,0.95,0.1875,0.625,0.4166666666666667
uncertainty_selective,307,failure_risk,0.75,240,0.8666666666666667,0.75,0.9958333333333333,0.12916666666666665,0.5555555555555556,0.6458333333333334
uncertainty_selective,307,ensemble_uncertainty,0.1,240,0.5291666666666667,0.1,0.55,0.02083333333333337,0.7916666666666666,0.020833333333333332
uncertainty_selective,307,ensemble_uncertainty,0.25,240,0.6375,0.25,0.7,0.0625,0.75,0.041666666666666664
uncertainty_selective,307,ensemble_uncertainty,0.5,240,0.8125,0.5,0.95,0.13749999999999996,0.725,0.10416666666666667
uncertainty_selective,307,ensemble_uncertainty,0.75,240,0.8958333333333334,0.75,0.9958333333333333,0.09999999999999998,0.6166666666666667,0.4375
uncertainty_selective,307,s_learner,0.1,240,0.49583333333333335,0.1,0.55,0.054166666666666696,0.4583333333333333,0.1875
uncertainty_selective,307,s_learner,0.25,240,0.6083333333333333,0.25,0.7,0.09166666666666667,0.6333333333333333,0.2916666666666667
uncertainty_selective,307,s_learner,0.5,240,0.7458333333333333,0.5,0.95,0.2041666666666666,0.5916666666666667,0.4791666666666667
uncertainty_selective,307,s_learner,0.75,240,0.8708333333333333,0.75,0.9958333333333333,0.125,0.5722222222222222,0.75
uncertainty_selective,307,t_learner,0.1,240,0.5083333333333333,0.1,0.55,0.04166666666666674,0.5833333333333334,0.08333333333333333
uncertainty_selective,307,t_learner,0.25,240,0.6083333333333333,0.25,0.7,0.09166666666666667,0.65,0.20833333333333334
uncertainty_selective,307,t_learner,0.5,240,0.7541666666666667,0.5,0.95,0.1958333333333333,0.6166666666666667,0.375
uncertainty_selective,307,t_learner,0.75,240,0.8833333333333333,0.75,0.9958333333333333,0.11250000000000004,0.5833333333333334,0.625
uncertainty_selective,307,ipw_learner,0.1,240,0.5041666666666667,0.1,0.55,0.04583333333333339,0.5416666666666666,0.125
uncertainty_selective,307,ipw_learner,0.25,240,0.5666666666666667,0.25,0.7,0.1333333333333333,0.5,0.3541666666666667
uncertainty_selective,307,ipw_learner,0.5,240,0.7083333333333334,0.5,0.95,0.24166666666666659,0.5333333333333333,0.5416666666666666
uncertainty_selective,307,ipw_learner,0.75,240,0.8208333333333333,0.75,0.9958333333333333,0.17500000000000004,0.5055555555555555,0.7708333333333334
uncertainty_selective,307,dr_learner,0.1,240,0.5,0.1,0.55,0.050000000000000044,0.5416666666666666,0.08333333333333333
uncertainty_selective,307,dr_learner,0.25,240,0.6166666666666667,0.25,0.7,0.08333333333333326,0.6833333333333333,0.16666666666666666
uncertainty_selective,307,dr_learner,0.5,240,0.7583333333333333,0.5,0.95,0.19166666666666665,0.6416666666666667,0.2916666666666667
uncertainty_selective,307,dr_learner,0.75,240,0.8583333333333333,0.75,0.9958333333333333,0.13750000000000007,0.5666666666666667,0.6458333333333334
uncertainty_selective,307,reversibility_proxy,0.1,240,0.5041666666666667,0.1,0.55,0.04583333333333339,0.5416666666666666,0.0
uncertainty_selective,307,reversibility_proxy,0.25,240,0.625,0.25,0.7,0.07499999999999996,0.7,0.041666666666666664
uncertainty_selective,307,reversibility_proxy,0.5,240,0.8041666666666667,0.5,0.95,0.14583333333333326,0.7166666666666667,0.14583333333333334
uncertainty_selective,307,reversibility_proxy,0.75,240,0.8791666666666667,0.75,0.9958333333333333,0.1166666666666667,0.5833333333333334,0.6666666666666666
uncertainty_selective,401,never_help,0.0,240,0.45,0.0,0.45,0.0,,0.0
uncertainty_selective,401,always_help,1.0,240,0.9833333333333333,1.0,0.9958333333333333,0.012500000000000067,0.5375,1.0
uncertainty_selective,401,oracle_value,,240,0.9958333333333333,0.5458333333333333,0.9958333333333333,0.0,1.0,0.10416666666666667
uncertainty_selective,401,paired_label_oracle,0.1,240,0.5375,0.1,0.55,0.012500000000000067,0.875,0.08333333333333333
uncertainty_selective,401,paired_label_oracle,0.25,240,0.6625,0.25,0.7,0.03749999999999998,0.85,0.125
uncertainty_selective,401,paired_label_oracle,0.5,240,0.8166666666666667,0.5,0.95,0.1333333333333333,0.7333333333333333,0.2708333333333333
uncertainty_selective,401,paired_label_oracle,0.75,240,0.9166666666666666,0.75,0.9958333333333333,0.07916666666666672,0.6277777777777778,0.5208333333333334
uncertainty_selective,401,failure_risk,0.1,240,0.5166666666666667,0.1,0.55,0.033333333333333326,0.6666666666666666,0.0625
uncertainty_selective,401,failure_risk,0.25,240,0.6125,0.25,0.7,0.08749999999999991,0.65,0.14583333333333334
uncertainty_selective,401,failure_risk,0.5,240,0.7625,0.5,0.95,0.1875,0.625,0.4166666666666667
uncertainty_selective,401,failure_risk,0.75,240,0.8666666666666667,0.75,0.9958333333333333,0.12916666666666665,0.5555555555555556,0.6458333333333334
uncertainty_selective,401,ensemble_uncertainty,0.1,240,0.5291666666666667,0.1,0.55,0.02083333333333337,0.7916666666666666,0.020833333333333332
uncertainty_selective,401,ensemble_uncertainty,0.25,240,0.6375,0.25,0.7,0.0625,0.75,0.041666666666666664
uncertainty_selective,401,ensemble_uncertainty,0.5,240,0.8125,0.5,0.95,0.13749999999999996,0.725,0.10416666666666667
uncertainty_selective,401,ensemble_uncertainty,0.75,240,0.8958333333333334,0.75,0.9958333333333333,0.09999999999999998,0.6166666666666667,0.4375
uncertainty_selective,401,s_learner,0.1,240,0.5166666666666667,0.1,0.55,0.033333333333333326,0.6666666666666666,0.10416666666666667
uncertainty_selective,401,s_learner,0.25,240,0.6041666666666666,0.25,0.7,0.09583333333333333,0.6166666666666667,0.2916666666666667
uncertainty_selective,401,s_learner,0.5,240,0.7541666666666667,0.5,0.95,0.1958333333333333,0.6083333333333333,0.5625
uncertainty_selective,401,s_learner,0.75,240,0.8666666666666667,0.75,0.9958333333333333,0.12916666666666665,0.5666666666666667,0.7708333333333334
uncertainty_selective,401,t_learner,0.1,240,0.5166666666666667,0.1,0.55,0.033333333333333326,0.6666666666666666,0.020833333333333332
uncertainty_selective,401,t_learner,0.25,240,0.6208333333333333,0.25,0.7,0.07916666666666661,0.6833333333333333,0.125
uncertainty_selective,401,t_learner,0.5,240,0.7625,0.5,0.95,0.1875,0.625,0.4375
uncertainty_selective,401,t_learner,0.75,240,0.8666666666666667,0.75,0.9958333333333333,0.12916666666666665,0.5611111111111111,0.7083333333333334
uncertainty_selective,401,ipw_learner,0.1,240,0.5041666666666667,0.1,0.55,0.04583333333333339,0.5416666666666666,0.125
uncertainty_selective,401,ipw_learner,0.25,240,0.5875,0.25,0.7,0.11249999999999993,0.5833333333333334,0.2916666666666667
uncertainty_selective,401,ipw_learner,0.5,240,0.7208333333333333,0.5,0.95,0.22916666666666663,0.575,0.5208333333333334
uncertainty_selective,401,ipw_learner,0.75,240,0.8166666666666667,0.75,0.9958333333333333,0.1791666666666667,0.5166666666666667,0.75
uncertainty_selective,401,dr_learner,0.1,240,0.5,0.1,0.55,0.050000000000000044,0.5,0.08333333333333333
uncertainty_selective,401,dr_learner,0.25,240,0.6083333333333333,0.25,0.7,0.09166666666666667,0.6333333333333333,0.1875
uncertainty_selective,401,dr_learner,0.5,240,0.75,0.5,0.95,0.19999999999999996,0.6083333333333333,0.4166666666666667
uncertainty_selective,401,dr_learner,0.75,240,0.8833333333333333,0.75,0.9958333333333333,0.11250000000000004,0.5833333333333334,0.6666666666666666
uncertainty_selective,401,reversibility_proxy,0.1,240,0.5083333333333333,0.1,0.55,0.04166666666666674,0.5833333333333334,0.0
uncertainty_selective,401,reversibility_proxy,0.25,240,0.6291666666666667,0.25,0.7,0.0708333333333333,0.7166666666666667,0.020833333333333332
uncertainty_selective,401,reversibility_proxy,0.5,240,0.8041666666666667,0.5,0.95,0.14583333333333326,0.7083333333333334,0.1875
uncertainty_selective,401,reversibility_proxy,0.75,240,0.9,0.75,0.9958333333333333,0.09583333333333333,0.6,0.6458333333333334
uncertainty_selective,503,never_help,0.0,240,0.45,0.0,0.45,0.0,,0.0
uncertainty_selective,503,always_help,1.0,240,0.9833333333333333,1.0,0.9958333333333333,0.012500000000000067,0.5375,1.0
uncertainty_selective,503,oracle_value,,240,0.9958333333333333,0.5458333333333333,0.9958333333333333,0.0,1.0,0.10416666666666667
uncertainty_selective,503,paired_label_oracle,0.1,240,0.5375,0.1,0.55,0.012500000000000067,0.875,0.08333333333333333
uncertainty_selective,503,paired_label_oracle,0.25,240,0.6625,0.25,0.7,0.03749999999999998,0.85,0.125
uncertainty_selective,503,paired_label_oracle,0.5,240,0.8166666666666667,0.5,0.95,0.1333333333333333,0.7333333333333333,0.2708333333333333
uncertainty_selective,503,paired_label_oracle,0.75,240,0.9166666666666666,0.75,0.9958333333333333,0.07916666666666672,0.6277777777777778,0.5208333333333334
uncertainty_selective,503,failure_risk,0.1,240,0.5166666666666667,0.1,0.55,0.033333333333333326,0.6666666666666666,0.0625
uncertainty_selective,503,failure_risk,0.25,240,0.6125,0.25,0.7,0.08749999999999991,0.65,0.14583333333333334
uncertainty_selective,503,failure_risk,0.5,240,0.7625,0.5,0.95,0.1875,0.625,0.4166666666666667
uncertainty_selective,503,failure_risk,0.75,240,0.8666666666666667,0.75,0.9958333333333333,0.12916666666666665,0.5555555555555556,0.6458333333333334
uncertainty_selective,503,ensemble_uncertainty,0.1,240,0.5291666666666667,0.1,0.55,0.02083333333333337,0.7916666666666666,0.020833333333333332
uncertainty_selective,503,ensemble_uncertainty,0.25,240,0.6375,0.25,0.7,0.0625,0.75,0.041666666666666664
uncertainty_selective,503,ensemble_uncertainty,0.5,240,0.8125,0.5,0.95,0.13749999999999996,0.725,0.10416666666666667
uncertainty_selective,503,ensemble_uncertainty,0.75,240,0.8958333333333334,0.75,0.9958333333333333,0.09999999999999998,0.6166666666666667,0.4375
uncertainty_selective,503,s_learner,0.1,240,0.49583333333333335,0.1,0.55,0.054166666666666696,0.4583333333333333,0.041666666666666664
uncertainty_selective,503,s_learner,0.25,240,0.5916666666666667,0.25,0.7,0.10833333333333328,0.5666666666666667,0.125
uncertainty_selective,503,s_learner,0.5,240,0.7416666666666667,0.5,0.95,0.20833333333333326,0.5833333333333334,0.3125
uncertainty_selective,503,s_learner,0.75,240,0.8833333333333333,0.75,0.9958333333333333,0.11250000000000004,0.5777777777777777,0.5208333333333334
uncertainty_selective,503,t_learner,0.1,240,0.5291666666666667,0.1,0.55,0.02083333333333337,0.7916666666666666,0.041666666666666664
uncertainty_selective,503,t_learner,0.25,240,0.6416666666666667,0.25,0.7,0.05833333333333324,0.7666666666666667,0.10416666666666667
uncertainty_selective,503,t_learner,0.5,240,0.8333333333333334,0.5,0.95,0.11666666666666659,0.775,0.20833333333333334
uncertainty_selective,503,t_learner,0.75,240,0.9166666666666666,0.75,0.9958333333333333,0.07916666666666672,0.6222222222222222,0.4583333333333333
uncertainty_selective,503,ipw_learner,0.1,240,0.49166666666666664,0.1,0.55,0.058333333333333404,0.4166666666666667,0.10416666666666667
uncertainty_selective,503,ipw_learner,0.25,240,0.5791666666666667,0.25,0.7,0.12083333333333324,0.5166666666666667,0.2708333333333333
uncertainty_selective,503,ipw_learner,0.5,240,0.7291666666666666,0.5,0.95,0.22083333333333333,0.5666666666666667,0.4583333333333333
uncertainty_selective,503,ipw_learner,0.75,240,0.8458333333333333,0.75,0.9958333333333333,0.15000000000000002,0.5333333333333333,0.5416666666666666
uncertainty_selective,503,dr_learner,0.1,240,0.5333333333333333,0.1,0.55,0.01666666666666672,0.8333333333333334,0.041666666666666664
uncertainty_selective,503,dr_learner,0.25,240,0.6541666666666667,0.25,0.7,0.04583333333333328,0.8166666666666667,0.10416666666666667
uncertainty_selective,503,dr_learner,0.5,240,0.8208333333333333,0.5,0.95,0.12916666666666665,0.7416666666666667,0.1875
uncertainty_selective,503,dr_learner,0.75,240,0.9166666666666666,0.75,0.9958333333333333,0.07916666666666672,0.6222222222222222,0.5625
uncertainty_selective,503,reversibility_proxy,0.1,240,0.5166666666666667,0.1,0.55,0.033333333333333326,0.6666666666666666,0.041666666666666664
uncertainty_selective,503,reversibility_proxy,0.25,240,0.6333333333333333,0.25,0.7,0.06666666666666665,0.7333333333333333,0.10416666666666667
uncertainty_selective,503,reversibility_proxy,0.5,240,0.8166666666666667,0.5,0.95,0.1333333333333333,0.7416666666666667,0.16666666666666666
uncertainty_selective,503,reversibility_proxy,0.75,240,0.9208333333333333,0.75,0.9958333333333333,0.07500000000000007,0.6277777777777778,0.4166666666666667
adaptive_value,101,never_help,0.0,240,0.45,0.0,0.45,0.0,,0.0
adaptive_value,101,always_help,1.0,240,0.9833333333333333,1.0,0.9958333333333333,0.012500000000000067,0.5375,1.0
adaptive_value,101,oracle_value,,240,0.9958333333333333,0.5458333333333333,0.9958333333333333,0.0,1.0,0.10416666666666667
adaptive_value,101,paired_label_oracle,0.1,240,0.5375,0.1,0.55,0.012500000000000067,0.875,0.08333333333333333
adaptive_value,101,paired_label_oracle,0.25,240,0.6625,0.25,0.7,0.03749999999999998,0.85,0.125
adaptive_value,101,paired_label_oracle,0.5,240,0.8166666666666667,0.5,0.95,0.1333333333333333,0.7333333333333333,0.2708333333333333
adaptive_value,101,paired_label_oracle,0.75,240,0.9166666666666666,0.75,0.9958333333333333,0.07916666666666672,0.6277777777777778,0.5208333333333334
adaptive_value,101,failure_risk,0.1,240,0.5166666666666667,0.1,0.55,0.033333333333333326,0.6666666666666666,0.0625
adaptive_value,101,failure_risk,0.25,240,0.6125,0.25,0.7,0.08749999999999991,0.65,0.14583333333333334
adaptive_value,101,failure_risk,0.5,240,0.7625,0.5,0.95,0.1875,0.625,0.4166666666666667
adaptive_value,101,failure_risk,0.75,240,0.8666666666666667,0.75,0.9958333333333333,0.12916666666666665,0.5555555555555556,0.6458333333333334
adaptive_value,101,ensemble_uncertainty,0.1,240,0.5291666666666667,0.1,0.55,0.02083333333333337,0.7916666666666666,0.020833333333333332
adaptive_value,101,ensemble_uncertainty,0.25,240,0.6375,0.25,0.7,0.0625,0.75,0.041666666666666664
adaptive_value,101,ensemble_uncertainty,0.5,240,0.8125,0.5,0.95,0.13749999999999996,0.725,0.10416666666666667
adaptive_value,101,ensemble_uncertainty,0.75,240,0.8958333333333334,0.75,0.9958333333333333,0.09999999999999998,0.6166666666666667,0.4375
adaptive_value,101,s_learner,0.1,240,0.5125,0.1,0.55,0.03750000000000009,0.625,0.10416666666666667
adaptive_value,101,s_learner,0.25,240,0.6041666666666666,0.25,0.7,0.09583333333333333,0.6166666666666667,0.1875
adaptive_value,101,s_learner,0.5,240,0.7833333333333333,0.5,0.95,0.16666666666666663,0.6666666666666666,0.375
adaptive_value,101,s_learner,0.75,240,0.9208333333333333,0.75,0.9958333333333333,0.07500000000000007,0.6277777777777778,0.5416666666666666
adaptive_value,101,t_learner,0.1,240,0.5375,0.1,0.55,0.012500000000000067,0.875,0.041666666666666664
adaptive_value,101,t_learner,0.25,240,0.6416666666666667,0.25,0.7,0.05833333333333324,0.7666666666666667,0.1875
adaptive_value,101,t_learner,0.5,240,0.8,0.5,0.95,0.1499999999999999,0.7,0.3125
adaptive_value,101,t_learner,0.75,240,0.9333333333333333,0.75,0.9958333333333333,0.0625,0.6444444444444445,0.5416666666666666
adaptive_value,101,ipw_learner,0.1,240,0.5,0.1,0.55,0.050000000000000044,0.5416666666666666,0.14583333333333334
adaptive_value,101,ipw_learner,0.25,240,0.575,0.25,0.7,0.125,0.5166666666666667,0.375
adaptive_value,101,ipw_learner,0.5,240,0.6958333333333333,0.5,0.95,0.25416666666666665,0.5166666666666667,0.625
adaptive_value,101,ipw_learner,0.75,240,0.8,0.75,0.9958333333333333,0.1958333333333333,0.4888888888888889,0.875
adaptive_value,101,dr_learner,0.1,240,0.5125,0.1,0.55,0.03750000000000009,0.625,0.10416666666666667
adaptive_value,101,dr_learner,0.25,240,0.6,0.25,0.7,0.09999999999999998,0.6,0.20833333333333334
adaptive_value,101,dr_learner,0.5,240,0.7625,0.5,0.95,0.1875,0.625,0.4166666666666667
adaptive_value,101,dr_learner,0.75,240,0.9333333333333333,0.75,0.9958333333333333,0.0625,0.65,0.5833333333333334
adaptive_value,101,reversibility_proxy,0.1,240,0.5416666666666666,0.1,0.55,0.008333333333333415,0.9166666666666666,0.0625
adaptive_value,101,reversibility_proxy,0.25,240,0.6416666666666667,0.25,0.7,0.05833333333333324,0.7666666666666667,0.10416666666666667
adaptive_value,101,reversibility_proxy,0.5,240,0.7875,0.5,0.95,0.16249999999999998,0.675,0.25
adaptive_value,101,reversibility_proxy,0.75,240,0.9125,0.75,0.9958333333333333,0.08333333333333337,0.6166666666666667,0.5208333333333334
adaptive_value,211,never_help,0.0,240,0.45,0.0,0.45,0.0,,0.0
adaptive_value,211,always_help,1.0,240,0.9833333333333333,1.0,0.9958333333333333,0.012500000000000067,0.5375,1.0
adaptive_value,211,oracle_value,,240,0.9958333333333333,0.5458333333333333,0.9958333333333333,0.0,1.0,0.10416666666666667
adaptive_value,211,paired_label_oracle,0.1,240,0.5375,0.1,0.55,0.012500000000000067,0.875,0.08333333333333333
adaptive_value,211,paired_label_oracle,0.25,240,0.6625,0.25,0.7,0.03749999999999998,0.85,0.125
adaptive_value,211,paired_label_oracle,0.5,240,0.8166666666666667,0.5,0.95,0.1333333333333333,0.7333333333333333,0.2708333333333333
adaptive_value,211,paired_label_oracle,0.75,240,0.9166666666666666,0.75,0.9958333333333333,0.07916666666666672,0.6277777777777778,0.5208333333333334
adaptive_value,211,failure_risk,0.1,240,0.5166666666666667,0.1,0.55,0.033333333333333326,0.6666666666666666,0.0625
adaptive_value,211,failure_risk,0.25,240,0.6125,0.25,0.7,0.08749999999999991,0.65,0.14583333333333334
adaptive_value,211,failure_risk,0.5,240,0.7625,0.5,0.95,0.1875,0.625,0.4166666666666667
adaptive_value,211,failure_risk,0.75,240,0.8666666666666667,0.75,0.9958333333333333,0.12916666666666665,0.5555555555555556,0.6458333333333334
adaptive_value,211,ensemble_uncertainty,0.1,240,0.5291666666666667,0.1,0.55,0.02083333333333337,0.7916666666666666,0.020833333333333332
adaptive_value,211,ensemble_uncertainty,0.25,240,0.6375,0.25,0.7,0.0625,0.75,0.041666666666666664
adaptive_value,211,ensemble_uncertainty,0.5,240,0.8125,0.5,0.95,0.13749999999999996,0.725,0.10416666666666667
adaptive_value,211,ensemble_uncertainty,0.75,240,0.8958333333333334,0.75,0.9958333333333333,0.09999999999999998,0.6166666666666667,0.4375
adaptive_value,211,s_learner,0.1,240,0.4875,0.1,0.55,0.06250000000000006,0.375,0.08333333333333333
adaptive_value,211,s_learner,0.25,240,0.5708333333333333,0.25,0.7,0.12916666666666665,0.48333333333333334,0.2916666666666667
adaptive_value,211,s_learner,0.5,240,0.7083333333333334,0.5,0.95,0.24166666666666659,0.5166666666666667,0.4375
adaptive_value,211,s_learner,0.75,240,0.825,0.75,0.9958333333333333,0.1708333333333334,0.5055555555555555,0.7083333333333334
adaptive_value,211,t_learner,0.1,240,0.5333333333333333,0.1,0.55,0.01666666666666672,0.8333333333333334,0.0625
adaptive_value,211,t_learner,0.25,240,0.6333333333333333,0.25,0.7,0.06666666666666665,0.7333333333333333,0.125
adaptive_value,211,t_learner,0.5,240,0.7708333333333334,0.5,0.95,0.17916666666666659,0.6416666666666667,0.3333333333333333
adaptive_value,211,t_learner,0.75,240,0.8625,0.75,0.9958333333333333,0.1333333333333333,0.5611111111111111,0.6458333333333334
adaptive_value,211,ipw_learner,0.1,240,0.49166666666666664,0.1,0.55,0.058333333333333404,0.4166666666666667,0.125
adaptive_value,211,ipw_learner,0.25,240,0.5625,0.25,0.7,0.13749999999999996,0.45,0.25
adaptive_value,211,ipw_learner,0.5,240,0.7041666666666667,0.5,0.95,0.24583333333333324,0.5083333333333333,0.5625
adaptive_value,211,ipw_learner,0.75,240,0.8083333333333333,0.75,0.9958333333333333,0.1875,0.48333333333333334,0.7708333333333334
adaptive_value,211,dr_learner,0.1,240,0.4875,0.1,0.55,0.06250000000000006,0.4166666666666667,0.10416666666666667
adaptive_value,211,dr_learner,0.25,240,0.6,0.25,0.7,0.09999999999999998,0.6166666666666667,0.20833333333333334
adaptive_value,211,dr_learner,0.5,240,0.7416666666666667,0.5,0.95,0.20833333333333326,0.6,0.4791666666666667
adaptive_value,211,dr_learner,0.75,240,0.8791666666666667,0.75,0.9958333333333333,0.1166666666666667,0.5888888888888889,0.7291666666666666
adaptive_value,211,reversibility_proxy,0.1,240,0.5333333333333333,0.1,0.55,0.01666666666666672,0.8333333333333334,0.041666666666666664
adaptive_value,211,reversibility_proxy,0.25,240,0.6375,0.25,0.7,0.0625,0.75,0.16666666666666666
adaptive_value,211,reversibility_proxy,0.5,240,0.7791666666666667,0.5,0.95,0.17083333333333328,0.6583333333333333,0.2708333333333333
adaptive_value,211,reversibility_proxy,0.75,240,0.875,0.75,0.9958333333333333,0.12083333333333335,0.5722222222222222,0.5833333333333334
adaptive_value,307,never_help,0.0,240,0.45,0.0,0.45,0.0,,0.0
adaptive_value,307,always_help,1.0,240,0.9833333333333333,1.0,0.9958333333333333,0.012500000000000067,0.5375,1.0
adaptive_value,307,oracle_value,,240,0.9958333333333333,0.5458333333333333,0.9958333333333333,0.0,1.0,0.10416666666666667
adaptive_value,307,paired_label_oracle,0.1,240,0.5375,0.1,0.55,0.012500000000000067,0.875,0.08333333333333333
adaptive_value,307,paired_label_oracle,0.25,240,0.6625,0.25,0.7,0.03749999999999998,0.85,0.125
adaptive_value,307,paired_label_oracle,0.5,240,0.8166666666666667,0.5,0.95,0.1333333333333333,0.7333333333333333,0.2708333333333333
adaptive_value,307,paired_label_oracle,0.75,240,0.9166666666666666,0.75,0.9958333333333333,0.07916666666666672,0.6277777777777778,0.5208333333333334
adaptive_value,307,failure_risk,0.1,240,0.5166666666666667,0.1,0.55,0.033333333333333326,0.6666666666666666,0.0625
adaptive_value,307,failure_risk,0.25,240,0.6125,0.25,0.7,0.08749999999999991,0.65,0.14583333333333334
adaptive_value,307,failure_risk,0.5,240,0.7625,0.5,0.95,0.1875,0.625,0.4166666666666667
adaptive_value,307,failure_risk,0.75,240,0.8666666666666667,0.75,0.9958333333333333,0.12916666666666665,0.5555555555555556,0.6458333333333334
adaptive_value,307,ensemble_uncertainty,0.1,240,0.5291666666666667,0.1,0.55,0.02083333333333337,0.7916666666666666,0.020833333333333332
adaptive_value,307,ensemble_uncertainty,0.25,240,0.6375,0.25,0.7,0.0625,0.75,0.041666666666666664
adaptive_value,307,ensemble_uncertainty,0.5,240,0.8125,0.5,0.95,0.13749999999999996,0.725,0.10416666666666667
adaptive_value,307,ensemble_uncertainty,0.75,240,0.8958333333333334,0.75,0.9958333333333333,0.09999999999999998,0.6166666666666667,0.4375
adaptive_value,307,s_learner,0.1,240,0.48333333333333334,0.1,0.55,0.06666666666666671,0.3333333333333333,0.10416666666666667
adaptive_value,307,s_learner,0.25,240,0.5791666666666667,0.25,0.7,0.12083333333333324,0.5166666666666667,0.2916666666666667
adaptive_value,307,s_learner,0.5,240,0.7166666666666667,0.5,0.95,0.23333333333333328,0.5416666666666666,0.4166666666666667
adaptive_value,307,s_learner,0.75,240,0.8583333333333333,0.75,0.9958333333333333,0.13750000000000007,0.55,0.6666666666666666
adaptive_value,307,t_learner,0.1,240,0.5125,0.1,0.55,0.03750000000000009,0.625,0.041666666666666664
adaptive_value,307,t_learner,0.25,240,0.6041666666666666,0.25,0.7,0.09583333333333333,0.6166666666666667,0.16666666666666666
adaptive_value,307,t_learner,0.5,240,0.7458333333333333,0.5,0.95,0.2041666666666666,0.5916666666666667,0.3541666666666667
adaptive_value,307,t_learner,0.75,240,0.9125,0.75,0.9958333333333333,0.08333333333333337,0.6166666666666667,0.6041666666666666
adaptive_value,307,ipw_learner,0.1,240,0.5,0.1,0.55,0.050000000000000044,0.5,0.14583333333333334
adaptive_value,307,ipw_learner,0.25,240,0.5875,0.25,0.7,0.11249999999999993,0.5666666666666667,0.2916666666666667
adaptive_value,307,ipw_learner,0.5,240,0.725,0.5,0.95,0.22499999999999998,0.5583333333333333,0.4791666666666667
adaptive_value,307,ipw_learner,0.75,240,0.8208333333333333,0.75,0.9958333333333333,0.17500000000000004,0.5055555555555555,0.7916666666666666
adaptive_value,307,dr_learner,0.1,240,0.5208333333333334,0.1,0.55,0.029166666666666674,0.7083333333333334,0.041666666666666664
adaptive_value,307,dr_learner,0.25,240,0.6166666666666667,0.25,0.7,0.08333333333333326,0.6666666666666666,0.1875
adaptive_value,307,dr_learner,0.5,240,0.775,0.5,0.95,0.17499999999999993,0.65,0.3541666666666667
adaptive_value,307,dr_learner,0.75,240,0.8958333333333334,0.75,0.9958333333333333,0.09999999999999998,0.5944444444444444,0.6458333333333334
adaptive_value,307,reversibility_proxy,0.1,240,0.49583333333333335,0.1,0.55,0.054166666666666696,0.4583333333333333,0.020833333333333332
